[2026-08-20T04:04:03.689Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:04:04.474Z] GET http://localhost:3000/ → 200 (22ms, 5710B)
[2026-08-20T04:04:04.501Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.0r6juujl39pe6.woff2 → 200 (11ms, 23108B)
[2026-08-20T04:04:04.501Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.0wgildi0cnwt9.woff2 → 200 (11ms, 29288B)
[2026-08-20T04:04:04.501Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__04kpziu._.css → 200 (7ms, 5966B)
[2026-08-20T04:04:04.501Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1di75ot._.js → 200 (11ms, 594B)
[2026-08-20T04:04:04.501Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → pending (?ms, ?B)
[2026-08-20T04:04:04.501Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.501Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.501Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.501Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.501Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.501Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.502Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.502Z] GET http://localhost:3000/_next/static/chunks/turbopack-_08bm286._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.502Z] GET http://localhost:3000/_next/static/chunks/_219uq1s._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.502Z] GET http://localhost:3000/_next/static/chunks/node_modules_1i40s72._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.502Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_0_w4y4e._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.502Z] GET http://localhost:3000/_next/static/chunks/node_modules_jose_dist_browser_1g2npoy._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.503Z] GET http://localhost:3000/_next/static/chunks/14cr_viem__esm_utils_15_cy6b._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.503Z] GET http://localhost:3000/_next/static/chunks/14cr_viem__esm_errors_1t0kthw._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.503Z] GET http://localhost:3000/_next/static/chunks/14cr_viem__esm_actions_19tv4qh._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.503Z] GET http://localhost:3000/_next/static/chunks/14cr_viem__esm_tempo_0rgmi0i._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.503Z] GET http://localhost:3000/_next/static/chunks/14cr_viem__esm_0d-1z3t._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.503Z] GET http://localhost:3000/_next/static/chunks/node_modules_viem__esm_utils_1gvcwdz._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.504Z] GET http://localhost:3000/_next/static/chunks/node_modules_viem__esm_actions_0irljfn._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.504Z] GET http://localhost:3000/_next/static/chunks/node_modules_viem__esm_zksync_1xu4oqs._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.504Z] GET http://localhost:3000/_next/static/chunks/node_modules_viem__esm_0e0b6yv._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.504Z] GET http://localhost:3000/_next/static/chunks/node_modules_1ycmvyn._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.504Z] GET http://localhost:3000/_next/static/chunks/node_modules_0hdx9i5._.js → pending (?ms, ?B)
